"providerId","providerName","coverageType","coverageTargets","listingStatus","licenseOrCertificationNotes","officialApprovalSourceUrl","phone","email","siteUrl","listingSource","pageLabel","lastReviewed"
"anaheim-accurate-backflow","Accurate Backflow Testing & Valve Repair","utility","anaheim-water","PUBLIC","Official Anaheim approved tester entry pulled from the city cross-connection program.","https://www.anaheim.net/769/Cross-Connection-Control","714-969-9944","","","DIRECTORY","Officially listed on Anaheim's approved tester page.","2026-04-05"
"anaheim-goldstar-plumbing","Goldstar Plumbing","utility","anaheim-water","PUBLIC","Official Anaheim approved tester entry pulled from the city cross-connection program.","https://www.anaheim.net/769/Cross-Connection-Control","714-630-6407","","","DIRECTORY","Officially listed on Anaheim's approved tester page.","2026-04-05"
"arlington-cross-connection","Arlington Cross Connection Team","utility","arlington-water","HOLD","Independent directory listing for annual testing and failed-test routing","","817-555-0117","quotes@arlingtoncct.example","https://arlingtoncct.example","DIRECT_SITE","Non-official directory listing for Arlington utility coverage","2026-04-04"
"austin-1st-home-commercial-services","1ST HOME & COMMERCIAL SERVICES","utility","austin-water","PUBLIC","Official Austin Water WEIRS employer list entry for backflow prevention assembly testers; the City says the list is provided as a convenience only.","https://services.austintexas.gov/water/weirs/index.cfm?fuseaction=report.publicWSCTechEmployer&tt=1","512-282-7787","","","DIRECTORY","Officially listed on Austin Water's public WEIRS technician employer list.","2026-04-05"
"austin-5f-mechanical","5F MECHANICAL","utility","austin-water","PUBLIC","Official Austin Water WEIRS employer list entry for backflow prevention assembly testers; the City says the list is provided as a convenience only.","https://services.austintexas.gov/water/weirs/index.cfm?fuseaction=report.publicWSCTechEmployer&tt=1","512-251-6880","","","DIRECTORY","Officially listed on Austin Water's public WEIRS technician employer list.","2026-04-05"
"austin-watercrest-backflow","WATERCREST BACKFLOW","utility","austin-water","PUBLIC","Official Austin Water WEIRS employer list entry for backflow prevention assembly testers; the City says the list is provided as a convenience only.","https://services.austintexas.gov/water/weirs/index.cfm?fuseaction=report.publicWSCTechEmployer&tt=1","512-589-3590","","","DIRECTORY","Officially listed on Austin Water's public WEIRS technician employer list.","2026-04-05"
"arvada-jm","J AND M BACKFLOW TESTING, LLC","utility","arvada-water","PUBLIC","Official Arvada certified backflow tester entry","https://www.arvadaco.gov/DocumentCenter/View/494/Backflow-Testing-Companies-PDF","970-576-2597","","","DIRECTORY","Officially listed on the Arvada tester PDF","2026-04-05"
"arvada-lakewood","LAKEWOOD PLUMBING & HEATING LLC","utility","arvada-water","PUBLIC","Official Arvada certified backflow tester entry","https://www.arvadaco.gov/DocumentCenter/View/494/Backflow-Testing-Companies-PDF","303-233-7007","","","DIRECTORY","Officially listed on the Arvada tester PDF","2026-04-05"
"arvada-pros","#1 BACKFLOW PROS","utility","arvada-water","PUBLIC","Official Arvada certified backflow tester entry","https://www.arvadaco.gov/DocumentCenter/View/494/Backflow-Testing-Companies-PDF","720-693-4587","","","DIRECTORY","Officially listed on the Arvada tester PDF","2026-04-05"
"aspen-atlas-backflow","Atlas Backflow","utility","aspen-water","PUBLIC","Official Aspen certified tester list entry.","https://www.aspen.gov/DocumentCenter/View/8018/2025-City-of-Aspen-Backflow-Flyer-and-Tester-List--PDF","970-274-1402","","","DIRECTORY","Officially listed on Aspen's certified tester PDF.","2026-04-05"
"aspen-booth-plumbing","Booth Plumbing & Backflow Services","utility","aspen-water","PUBLIC","Official Aspen certified tester list entry.","https://www.aspen.gov/DocumentCenter/View/8018/2025-City-of-Aspen-Backflow-Flyer-and-Tester-List--PDF","970-379-4492","","","DIRECTORY","Officially listed on Aspen's certified tester PDF.","2026-04-05"
"avondale-affordable-fire","Affordable Fire & Safety LLC","utility","avondale-water","PUBLIC","Official Avondale approved tester entry","https://www.avondaleaz.gov/home/showpublisheddocument/9038/638254490100330000","480-507-2850","","","DIRECTORY","Officially listed on the Avondale approved tester PDF","2026-04-05"
"avondale-backflow-device","Backflow Prevention Device Inc","utility","avondale-water|glendale-water","PUBLIC","Official tester listed by both Avondale and Glendale; this profile covers the shared West Valley footprint.","https://www.glendaleaz.com/UserFiles/Servers/Server_15209001/File/Departments/Water%20Services/Cross%20Connection%20Control/Backflow%20Tester%20List%205-5-2025.pdf","602-788-5411","","","DIRECTORY","Officially listed on Avondale and Glendale tester rosters for the West Valley cluster.","2026-04-05"
"castle-rock-baker","Baker Backflow Testing","utility","castle-rock-water","PUBLIC","Official Castle Rock certified backflow tester entry","https://www.crgov.com/DocumentCenter/View/29057/Backflow-Tester-List-2024-CL-PDF","970-497-6322","","","DIRECTORY","Officially listed on the Castle Rock tester PDF","2026-04-05"
"castle-rock-dougs","Doug's Backflow","utility","castle-rock-water","PUBLIC","Official Castle Rock certified backflow tester entry","https://www.crgov.com/DocumentCenter/View/29057/Backflow-Tester-List-2024-CL-PDF","303-249-6423","","","DIRECTORY","Officially listed on the Castle Rock tester PDF","2026-04-05"
