"query","owner_slug","canonical_path","launch_wave"
"adjusting water pressure regulator","water-pressure-regulator-adjustment","/water-pressure-regulator-adjustment/","A"
"annual backflow test","backflow-test","/backflow-test/","A"
"annual backflow test requirements","annual-backflow-testing","/annual-backflow-testing/","A"
"annual backflow testing","annual-backflow-testing","/annual-backflow-testing/","A"
"anti siphon backflow valve","anti-siphon-valve","/anti-siphon-valve/","A"
"anti siphon installation","vacuum-breaker-installation","/vacuum-breaker-installation/","A"
"anti siphon valve leaking","vacuum-breaker-leaking","/vacuum-breaker-leaking/","A"
"apartment backflow test","apartment-backflow-testing","/apartment-backflow-testing/","E"
"apartment backflow testing","apartment-backflow-testing","/apartment-backflow-testing/","E"
"approved tester list","approved-backflow-tester","/approved-backflow-tester/","A"
"atmospheric anti siphon valve","atmospheric-vacuum-breaker","/atmospheric-vacuum-breaker/","A"
"atmospheric backflow preventer","atmospheric-vacuum-breaker","/atmospheric-vacuum-breaker/","A"
"AVB","atmospheric-vacuum-breaker","/atmospheric-vacuum-breaker/","A"
"backflow assembly diagram","backflow-preventer-diagram","/backflow-preventer-diagram/","A"
"backflow assembly failed test","backflow-preventer-failed-test","/backflow-preventer-failed-test/","E"
"backflow assembly location","backflow-preventer-location","/backflow-preventer-location/","E"
"backflow assembly serial number","backflow-preventer-serial-number","/backflow-preventer-serial-number/","E"
"backflow assembly servicing","backflow-preventer-service","/backflow-preventer-service/","E"
"backflow certification","backflow-test","/backflow-test/","A"
"backflow certification process","backflow-certification","/backflow-certification/","A"
"backflow certification requirements","backflow-certification","/backflow-certification/","A"
"backflow certified testing","certified-backflow-testing","/certified-backflow-testing/","E"
"backflow compliance deadline","backflow-test-deadline","/backflow-test-deadline/","E"
"backflow compliance notice","backflow-test-notice","/backflow-test-notice/","A"
"backflow compliance records","backflow-test-records","/backflow-test-records/","E"
"backflow device dumping water","backflow-preventer-leaking","/backflow-preventer-leaking/","A"
"backflow device identification","backflow-device-identification","/backflow-device-identification/","E"
"backflow device installation requirements","backflow-preventer-installation","/backflow-preventer-installation/","A"
"backflow device types","backflow-preventer-types","/backflow-preventer-types/","A"
"backflow freeze protection","backflow-preventer-winterization","/backflow-preventer-winterization/","A"
"backflow inspection","backflow-test","/backflow-test/","A"
"backflow inspection cost","backflow-inspection-cost","/backflow-inspection-cost/","A"
"backflow inspection failed","failed-backflow-inspection","/failed-backflow-inspection/","A"
"backflow inspection failure","failed-backflow-inspection","/failed-backflow-inspection/","A"
"backflow inspection price","backflow-inspection-cost","/backflow-inspection-cost/","A"
"backflow inspection service","commercial-backflow-inspection","/commercial-backflow-inspection/","A"
"backflow installation code requirements","backflow-installation-requirements","/backflow-installation-requirements/","E"
"backflow installation price","backflow-preventer-installation-cost","/backflow-preventer-installation-cost/","A"
"backflow installation requirements","backflow-installation-requirements","/backflow-installation-requirements/","E"
"backflow leak repair","backflow-preventer-leak-repair","/backflow-preventer-leak-repair/","E"
"backflow maintenance service","backflow-preventer-maintenance","/backflow-preventer-maintenance/","E"
"backflow preventer diagram","backflow-preventer-diagram","/backflow-preventer-diagram/","A"
"backflow preventer failed test","backflow-preventer-failed-test","/backflow-preventer-failed-test/","E"
"backflow preventer frozen","frozen-backflow-preventer","/frozen-backflow-preventer/","A"
"backflow preventer function","how-backflow-preventer-works","/how-backflow-preventer-works/","A"
"backflow preventer inspection","commercial-backflow-inspection","/commercial-backflow-inspection/","A"
"backflow preventer installation","backflow-preventer-installation","/backflow-preventer-installation/","A"
"backflow preventer installation cost","backflow-preventer-installation-cost","/backflow-preventer-installation-cost/","A"
"backflow preventer installation requirements","backflow-installation-requirements","/backflow-installation-requirements/","E"
"backflow preventer installer","backflow-preventer-installation","/backflow-preventer-installation/","A"
"backflow preventer leak repair","backflow-preventer-leak-repair","/backflow-preventer-leak-repair/","E"
"backflow preventer leaking from vent","backflow-preventer-leaking-from-vent","/backflow-preventer-leaking-from-vent/","A"
"backflow preventer location","backflow-preventer-location","/backflow-preventer-location/","E"
"backflow preventer maintenance","backflow-preventer-maintenance","/backflow-preventer-maintenance/","E"
"backflow preventer parts","backflow-preventer-parts","/backflow-preventer-parts/","A"
"backflow preventer rebuild","backflow-preventer-rebuild","/backflow-preventer-rebuild/","A"
"backflow preventer repair","backflow-preventer-repair","/backflow-preventer-repair/","A"
"backflow preventer repair cost","backflow-preventer-repair-cost","/backflow-preventer-repair-cost/","A"
"backflow preventer repair kit","backflow-preventer-repair-kit","/backflow-preventer-repair-kit/","A"
"backflow preventer replacement","backflow-preventer-replacement","/backflow-preventer-replacement/","A"
"backflow preventer replacement cost","backflow-preventer-replacement-cost","/backflow-preventer-replacement-cost/","A"
"backflow preventer replacement parts","backflow-preventer-parts","/backflow-preventer-parts/","A"
"backflow preventer serial number","backflow-preventer-serial-number","/backflow-preventer-serial-number/","E"
"backflow preventer service","backflow-preventer-repair","/backflow-preventer-repair/","A"
"backflow preventer servicing","backflow-preventer-service","/backflow-preventer-service/","E"
"backflow preventer spraying","backflow-preventer-leaking-from-vent","/backflow-preventer-leaking-from-vent/","A"
"backflow preventer test form","backflow-test-form","/backflow-test-form/","A"
"backflow preventer troubleshooting","backflow-preventer-troubleshooting","/backflow-preventer-troubleshooting/","A"
"backflow preventer types","backflow-preventer-types","/backflow-preventer-types/","A"
"backflow preventer winterization","backflow-preventer-winterization","/backflow-preventer-winterization/","A"
"backflow rebuild kit","backflow-preventer-rebuild","/backflow-preventer-rebuild/","A"
"backflow relief valve leaking","backflow-preventer-leaking-from-vent","/backflow-preventer-leaking-from-vent/","A"
"backflow repair cost","backflow-preventer-repair-cost","/backflow-preventer-repair-cost/","A"
"backflow repair kit","backflow-preventer-repair-kit","/backflow-preventer-repair-kit/","A"
"backflow repair service","backflow-preventer-repair","/backflow-preventer-repair/","A"
"backflow replacement cost","backflow-preventer-replacement-cost","/backflow-preventer-replacement-cost/","A"
"backflow replacement service","backflow-preventer-replacement","/backflow-preventer-replacement/","A"
"backflow report portal","backflow-reporting-portal","/backflow-reporting-portal/","A"
"backflow report submission","backflow-report-submission","/backflow-report-submission/","E"
"backflow reporting portal","backflow-reporting-portal","/backflow-reporting-portal/","A"
"backflow retest","failed-backflow-test","/failed-backflow-test/","A"
"backflow retesting","backflow-test-retest","/backflow-test-retest/","E"
"backflow serial number lookup","backflow-preventer-serial-number","/backflow-preventer-serial-number/","E"
"backflow test cost","backflow-test","/backflow-test/","A"
"backflow test deadline","backflow-test-deadline","/backflow-test-deadline/","E"
"backflow test failure","failed-backflow-test","/failed-backflow-test/","A"
"backflow test form","backflow-test-form","/backflow-test-form/","A"
"backflow test frequency","backflow-test-frequency","/backflow-test-frequency/","A"
"backflow test notice","backflow-test-notice","/backflow-test-notice/","A"
"backflow test records","backflow-test-records","/backflow-test-records/","E"
"backflow test report submission","backflow-report-submission","/backflow-report-submission/","E"
"backflow test retest","backflow-test-retest","/backflow-test-retest/","E"
"backflow test service","backflow-testing-service","/backflow-testing-service/","E"
"backflow tester certification","backflow-certification","/backflow-certification/","A"
"backflow tester near me","approved-backflow-tester","/approved-backflow-tester/","A"
"backflow testing","backflow-test","/backflow-test/","A"
"backflow testing company","backflow-testing-service","/backflow-testing-service/","E"
"backflow testing deadline","backflow-test-deadline","/backflow-test-deadline/","E"
"backflow testing form","backflow-test-form","/backflow-test-form/","A"
"backflow testing notice","backflow-test-notice","/backflow-test-notice/","A"
"backflow testing records","backflow-test-records","/backflow-test-records/","E"
"backflow testing schedule","backflow-test-frequency","/backflow-test-frequency/","A"
"backflow testing service","backflow-testing-service","/backflow-testing-service/","E"
"backflow valve diagram","backflow-preventer-diagram","/backflow-preventer-diagram/","A"
"backflow valve dripping","backflow-preventer-leaking","/backflow-preventer-leaking/","A"
"backflow valve failed test","backflow-preventer-failed-test","/backflow-preventer-failed-test/","E"
"backflow valve identification","backflow-device-identification","/backflow-device-identification/","E"
"backflow valve leak repair","backflow-preventer-leak-repair","/backflow-preventer-leak-repair/","E"
"backflow valve maintenance","backflow-preventer-maintenance","/backflow-preventer-maintenance/","E"
"backflow valve parts","backflow-preventer-parts","/backflow-preventer-parts/","A"
"backflow valve repair cost","backflow-preventer-repair-cost","/backflow-preventer-repair-cost/","A"
"backflow valve repair kit","backflow-preventer-repair-kit","/backflow-preventer-repair-kit/","A"
"backflow valve servicing","backflow-preventer-service","/backflow-preventer-service/","E"
"backflow valve troubleshooting","backflow-preventer-troubleshooting","/backflow-preventer-troubleshooting/","A"
"backwater preventer","backwater-valve","/backwater-valve/","A"
"backwater valve installation","backwater-valve-installation","/backwater-valve-installation/","A"
"backwater valve installation cost","backwater-valve-installation-cost","/backwater-valve-installation-cost/","A"
"backwater valve retrofit cost","backwater-valve-installation-cost","/backwater-valve-installation-cost/","A"
"bad water pressure regulator","water-pressure-regulator-symptoms","/water-pressure-regulator-symptoms/","A"
"certified backflow test","certified-backflow-testing","/certified-backflow-testing/","E"
"certified backflow tester","approved-backflow-tester","/approved-backflow-tester/","A"
"certified backflow testing","certified-backflow-testing","/certified-backflow-testing/","E"
"clinic backflow testing","medical-office-backflow-testing","/medical-office-backflow-testing/","E"
"commercial backflow inspection","commercial-backflow-inspection","/commercial-backflow-inspection/","A"
"commercial backflow installation cost","commercial-backflow-installation-cost","/commercial-backflow-installation-cost/","A"
"commercial backflow preventer installation cost","commercial-backflow-installation-cost","/commercial-backflow-installation-cost/","A"
"commercial backflow preventer repair","commercial-backflow-repair","/commercial-backflow-repair/","E"
"commercial backflow preventer replacement","commercial-backflow-replacement","/commercial-backflow-replacement/","E"
"commercial backflow repair","commercial-backflow-repair","/commercial-backflow-repair/","E"
"commercial backflow replacement","commercial-backflow-replacement","/commercial-backflow-replacement/","E"
"commercial backflow service","commercial-backflow-testing","/commercial-backflow-testing/","A"
"commercial backflow test","commercial-backflow-testing","/commercial-backflow-testing/","A"
"commercial backflow testing","commercial-backflow-testing","/commercial-backflow-testing/","A"
"commercial property backflow testing","property-manager-backflow-testing","/property-manager-backflow-testing/","E"
"commercial RPZ installation cost","commercial-backflow-installation-cost","/commercial-backflow-installation-cost/","A"
"commercial RPZ repair","commercial-backflow-repair","/commercial-backflow-repair/","E"
"commercial RPZ replacement","commercial-backflow-replacement","/commercial-backflow-replacement/","E"
"cost of backflow inspection","backflow-inspection-cost","/backflow-inspection-cost/","A"
"cost to install backflow preventer","backflow-preventer-installation-cost","/backflow-preventer-installation-cost/","A"
"DCVA","backflow-preventer","/backflow-preventer/","A"
"DCVA leaking","double-check-valve-leaking","/double-check-valve-leaking/","A"
"DCVA repair","dcva-repair","/dcva-repair/","E"
"double check","backflow-preventer","/backflow-preventer/","A"
"double check backflow leaking","double-check-valve-leaking","/double-check-valve-leaking/","A"
"double check backflow repair","dcva-repair","/dcva-repair/","E"
"double check valve leaking","double-check-valve-leaking","/double-check-valve-leaking/","A"
"double check valve repair","dcva-repair","/dcva-repair/","E"
"failed backflow inspection","failed-backflow-test","/failed-backflow-test/","A"
"failed backflow inspection repair","failed-backflow-inspection","/failed-backflow-inspection/","A"
"failed RPZ test","failed-backflow-test","/failed-backflow-test/","A"
"faucet backflow preventer","hose-bib-vacuum-breaker","/hose-bib-vacuum-breaker/","A"
"fire line backflow installation","fire-sprinkler-backflow-installation","/fire-sprinkler-backflow-installation/","A"
"fire line backflow test","fire-sprinkler-backflow-test","/fire-sprinkler-backflow-test/","A"
"fire sprinkler backflow installation","fire-sprinkler-backflow-installation","/fire-sprinkler-backflow-installation/","A"
"fire sprinkler backflow preventer","fire-sprinkler-backflow-installation","/fire-sprinkler-backflow-installation/","A"
"fire sprinkler backflow test","fire-sprinkler-backflow-test","/fire-sprinkler-backflow-test/","A"
"fire system backflow testing","fire-sprinkler-backflow-test","/fire-sprinkler-backflow-test/","A"
"food service backflow testing","restaurant-backflow-testing","/restaurant-backflow-testing/","E"
"freeze damaged backflow preventer","frozen-backflow-preventer","/frozen-backflow-preventer/","A"
"frozen backflow preventer","frozen-backflow-preventer","/frozen-backflow-preventer/","A"
"garden hose anti siphon","hose-bib-vacuum-breaker","/hose-bib-vacuum-breaker/","A"
