checkedAt,url,status,note
2026-06-29,https://ccclink.floridawaterstar.com/,timeout,Automated source URL audit on 2026-06-29 timed out; confirm manually.
2026-06-29,https://discover.pbcgov.org/waterutilities/Pages/Plumbing-Contractors-List.aspx,fixed,Replaced with current Palm Beach County backflow prevention program page on 2026-07-11.
2026-06-29,https://emd.saccounty.gov/EC/Documents/testers-list.pdf,fixed,Replaced with current Sacramento County EH tester list PDF on 2026-07-11.
2026-06-29,https://greeleygov.com/services/ws/about-our-system/our-water-system/cross-connection,timeout,Automated source URL audit on 2026-06-29 timed out; confirm manually.
2026-06-29,https://greeleygov.com/services/ws/about-our-system/our-water-system/cross-connection/backflow-testers,timeout,Automated source URL audit on 2026-06-29 timed out; confirm manually.
2026-06-29,https://services.austintexas.gov/weirs/,fixed,Replaced with current Austin WEIRS report and tester routes on 2026-07-11.
2026-06-29,https://sprybackflow.com/CityofGreeley,timeout,Automated source URL audit on 2026-06-29 timed out; confirm manually.
2026-06-29,https://tampafl.c3swift.com/,fixed,Replaced with current City of Tampa backflow program page on 2026-07-11.
2026-06-29,https://www.anaheim.net/710/Standard-Specifications-Requirements,403,"Automated source URL audit on 2026-06-29 returned 403; may be bot protection, confirm manually."
2026-06-29,https://www.anaheim.net/769/Cross-Connection-Control,403,"Automated source URL audit on 2026-06-29 returned 403; may be bot protection, confirm manually."
2026-06-29,https://www.anaheim.net/DocumentCenter/View/1626/Water-Services-Standard-Specifications,403,"Automated source URL audit on 2026-06-29 returned 403; may be bot protection, confirm manually."
2026-06-29,https://www.arlingtontx.gov/UserFiles/Servers/Server_14481062/File/City%20Hall/Depts/City%20Secretary/City_Code_of_Ordinances/IRRChapter.pdf,403,"Automated source URL audit on 2026-06-29 returned 403; may be bot protection, confirm manually."
2026-06-29,https://www.arvadaco.gov/450/Backflow-Cross-Connection-Control-Progra,403,"Automated source URL audit on 2026-06-29 returned 403; may be bot protection, confirm manually."
