city,state,utilityId,aliasSlug,aliasMode,justification,lastReviewed
Avondale,arizona,avondale-water,avondale,REDIRECT,City search demand maps directly to Avondale's approved-tester and annual-testing workflow.,2026-04-05
Buckeye,arizona,buckeye-water,buckeye,REDIRECT,City search demand maps directly to Buckeye's governing backflow and annual due-notice workflow.,2026-04-05
Chandler,arizona,chandler-water,chandler,REDIRECT,City search demand maps directly to Chandler Water Quality and the governing backflow workflow.,2026-04-05
Flagstaff,arizona,flagstaff-water,flagstaff,REDIRECT,City search demand maps directly to Flagstaff's governing backflow workflow.,2026-04-05
Gilbert,arizona,gilbert-water,gilbert,REDIRECT,City search demand maps directly to Gilbert's governing backflow prevention department.,2026-04-05
Glendale,arizona,glendale-water,glendale,REDIRECT,City search demand maps directly to Glendale's cross-connection and hydrant-meter workflow.,2026-04-05
Goodyear,arizona,goodyear-water,goodyear,REDIRECT,City search demand maps directly to Goodyear's governing backflow workflow.,2026-04-05
Marana,arizona,marana-water,marana,REDIRECT,City search demand maps directly to Marana Water and the approved tester workflow.,2026-04-05
Mesa,arizona,mesa-water,mesa,REDIRECT,City search demand maps directly to Mesa Water Resources and the city portal workflow.,2026-04-04
Phoenix,arizona,phoenix-water,phoenix,REDIRECT,City search demand maps directly to the governing Phoenix backflow program.,2026-04-04
Prescott,arizona,prescott-water,prescott,REDIRECT,City search demand maps directly to Prescott's governing approved-tester and annual-testing workflow.,2026-04-05
Prescott Valley,arizona,prescott-valley-water,prescott-valley,REDIRECT,City search demand maps directly to Prescott Valley's governing backflow workflow even though the tester handout stays directory-only.,2026-04-05
Queen Creek,arizona,queen-creek-water,queen-creek,REDIRECT,City search demand maps directly to Queen Creek's BSI-driven backflow workflow.,2026-04-05
Scottsdale,arizona,scottsdale-water,scottsdale,REDIRECT,City search demand maps directly to Scottsdale Water's governing commercial services program.,2026-04-05
Tempe,arizona,tempe-water,tempe,REDIRECT,City search demand maps directly to Tempe's governing backflow program and registered tester workflow.,2026-04-05
Tucson,arizona,tucson-water,tucson,REDIRECT,City search demand maps directly to the governing Tucson Water workflow.,2026-04-04
Anaheim,california,anaheim-water,anaheim,REDIRECT,City search demand maps directly to Anaheim's governing cross-connection workflow.,2026-04-05
Fresno,california,fresno-water,fresno,REDIRECT,City search demand maps directly to Fresno Water Division and the governing cross-connection program.,2026-04-05
Irvine,california,irwd-backflow,irvine,REDIRECT,City search demand maps directly to IRWD's governing district program.,2026-04-04
Modesto,california,modesto-water,modesto,REDIRECT,City search demand maps directly to Modesto's governing cross-connection and backflow program.,2026-04-05
Oakland,california,ebmud-backflow,oakland,NOINDEX_BRIDGE,"Regional utility coverage is stronger than a city-only page, so keep an alias bridge instead of a hard redirect.",2026-04-04
